Value,Description
Conservation,"emphasize self-restriction, order, and resistance to change"
Openness to change,"emphasize independent action, thought, and feeling, as well as a readiness for new experiences"
Hedonism,seek pleasure and sensuous gratification 
Self-enhancement,seek personal success
Self-transcendence,show concern for the welfare and interests of others
